titles,years,descriptions,genres
Predestination,2014,"    For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","Action, Adventure, Drama            "
Noah,2014,    Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,"Action, Adventure, Drama            "
RoboCop,2014,"    In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.","Action, Crime, Sci-Fi            "
Transcendence,2014,    A scientist's drive for artificial intelligence takes on dangerous implications when his own consciousness is uploaded into one such program.,"Action, Drama, Sci-Fi            "
Gotham,2014,    The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"Action, Crime, Drama            "
It Follows,2014,    A young woman is followed by an unknown supernatural force after a sexual encounter.,"Horror, Mystery, Thriller            "
The 100,,"    Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","Drama, Mystery, Sci-Fi            "
Teenage Mutant Ninja Turtles,2014,"    When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.","Action, Adventure, Comedy            "
Chef,2014,"    A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.","Adventure, Comedy, Drama            "
Interstellar,2014,    A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.,"Adventure, Drama, Sci-Fi            "
Guardians of the Galaxy,2014,    A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Action, Adventure, Comedy            "
Gone Girl,2014,"    With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama, Mystery, Thriller            "
Captain America: The Winter Soldier,2014,"    As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.","Action, Adventure, Sci-Fi            "
Whiplash,2014,    A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"Drama, Music            "
The Grand Budapest Hotel,2014,"    A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure, Comedy, Crime            "
The Imitation Game,2014,"    During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.","Biography, Drama, Thriller            "
X-Men: Days of Future Past,2014,    The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"Action, Adventure, Sci-Fi            "
Edge of Tomorrow,2014,"    A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.","Action, Adventure, Sci-Fi            "
Kingsman: The Secret Service,2014,"    A spy organisation recruits a promising street kid into the agency's training program, while a global threat emerges from a twisted tech genius.","Action, Adventure, Comedy            "
Birdman or (The Unexpected Virtue of Ignorance),2014,"    A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.","Comedy, Drama            "
John Wick,2014,    An ex-hit-man comes out of retirement to track down the gangsters that killed his dog and took everything from him.,"Action, Crime, Thriller            "
True Detective,,"    Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.","Crime, Drama, Mystery            "
The Hobbit: The Battle of the Five Armies,2014,    Bilbo and company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.,"Adventure, Fantasy            "
Ex Machina,2014,    A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,"Drama, Mystery, Sci-Fi            "
Nightcrawler,2014,"    When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story.","Crime, Drama, Thriller            "
Lucy,2014,"    A woman, accidentally caught in a dark deal, turns the tables on her captors and transforms into a merciless warrior evolved beyond human logic.","Action, Sci-Fi, Thriller            "
American Sniper,2014,"    Navy S.E.A.L. sniper Chris Kyle's pinpoint accuracy saves countless lives on the battlefield and turns him into a legend. Back home with his family after four tours of duty, however, Chris finds that it is the war he can't leave behind.","Action, Biography, Drama            "
Divergent,2014,"    In a world divided by factions based on virtues, Tris learns she's Divergent and won't fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before it's too late.","Action, Adventure, Mystery            "
Fury,2014,"    A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.","Action, Drama, War            "
The Amazing Spider-Man 2,2014,"    When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.","Action, Adventure, Sci-Fi            "
The Maze Runner,2014,"    Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.","Action, Mystery, Sci-Fi            "
Dawn of the Planet of the Apes,2014,    A growing nation of genetically evolved apes led by Caesar is threatened by a band of human survivors of the devastating virus unleashed a decade earlier.,"Action, Adventure, Drama            "
The Hunger Games: Mockingjay - Part 1,2014,"    Katniss Everdeen is in District 13 after she shatters the games forever. Under the leadership of President Coin and the advice of her trusted friends, Katniss spreads her wings as she fights to save Peeta and a nation moved by her courage.","Action, Adventure, Sci-Fi            "
Big Hero 6,2014,"    The special bond develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada. They team up with a group of friends to form a band of high-tech heroes.","Animation, Action, Adventure            "
The Theory of Everything,2014,    A look at the relationship between the famous physicist Stephen Hawking and his wife.,"Biography, Drama, Romance            "
Godzilla,2014,"    The world is beset by the appearance of monstrous creatures, but one of them may be the only one who can save humanity.","Action, Adventure, Sci-Fi            "
22 Jump Street,2014,"    After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","Action, Comedy, Crime            "
The Fault in Our Stars,2014,    Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,"Drama, Romance            "
Maleficent,2014,"    A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.","Action, Adventure, Family            "
Boyhood,2014,"    The life of Mason, from early childhood to his arrival at college.",Drama            
The Equalizer,2014,"    A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life, before he meets a young girl under the control of ultra-violent Russian gangsters and can't stand idly by.","Action, Crime, Thriller            "
The Lego Movie,2014,"    An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","Animation, Action, Adventure            "
Fargo,,"    Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.","Crime, Drama, Thriller            "
The Interview,2014,"    Dave Skylark and his producer Aaron Rapaport run the celebrity tabloid show ""Skylark Tonight"". When they land an interview with a surprise fan, North Korean dictator Kim Jong-un, they are recruited by the CIA to assassinate him.","Action, Adventure, Comedy            "
The Flash,,"    After being struck by lightning, Barry Allen wakes up from his coma to discover he's been given the power of super speed, becoming the next Flash, fighting crime in Central City.","Action, Adventure, Drama            "
How to Train Your Dragon 2,2014,"    When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.","Animation, Action, Adventure            "
Transformers: Age of Extinction,2014,"    When humanity allies with a bounty hunter in pursuit of Optimus Prime, the Autobots turn to a mechanic and his family for help.","Action, Adventure, Sci-Fi            "
Neighbors,2014,"    After they are forced to live next to a fraternity house, a couple with a newborn baby do whatever they can to take them down.",Comedy            
300: Rise of an Empire,2014,"    Greek general Themistokles leads the charge against invading Persian forces led by mortal-turned-god Xerxes and Artemisia, vengeful commander of the Persian navy.","Action, Drama            "
Non-Stop,2014,"    An air marshal springs into action during a transatlantic flight after receiving a series of text messages demanding $150 million into an off-shore account, or someone will die every 20 minutes.","Action, Mystery, Thriller            "
Predestination,2014,"    For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","Action, Adventure, Drama            "
Noah,2014,    Noah is chosen by God to undertake a momentous mission before an apocalyptic flood cleanses the world.,"Action, Adventure, Drama            "
RoboCop,2014,"    In 2028 Detroit, when Alex Murphy, a loving husband, father and good cop, is critically injured in the line of duty, the multinational conglomerate OmniCorp sees their chance for a part-man, part-robot police officer.","Action, Crime, Sci-Fi            "
Transcendence,2014,    A scientist's drive for artificial intelligence takes on dangerous implications when his own consciousness is uploaded into one such program.,"Action, Drama, Sci-Fi            "
Gotham,2014,    The story behind Detective James Gordon's rise to prominence in Gotham City in the years before Batman's arrival.,"Action, Crime, Drama            "
It Follows,2014,    A young woman is followed by an unknown supernatural force after a sexual encounter.,"Horror, Mystery, Thriller            "
The 100,,"    Set ninety-seven years after a nuclear war has destroyed civilization, when a spaceship housing humanity's lone survivors sends one hundred juvenile delinquents back to Earth, in hopes of possibly re-populating the planet.","Drama, Mystery, Sci-Fi            "
Teenage Mutant Ninja Turtles,2014,"    When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.","Action, Adventure, Comedy            "
Chef,2014,"    A head chef quits his restaurant job and buys a food truck in an effort to reclaim his creative promise, while piecing back together his estranged family.","Adventure, Comedy, Drama            "
Mad Max: Fury Road,2015,"    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Action, Adventure, Sci-Fi            "
Star Wars: Episode VII - The Force Awakens,2015,"    As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Action, Adventure, Sci-Fi            "
The Martian,2015,"    An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Adventure, Drama, Sci-Fi            "
Avengers: Age of Ultron,2015,"    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Action, Adventure, Sci-Fi            "
The Revenant,2015,    A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Action, Adventure, Drama            "
Inside Out,2015,"    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation, Adventure, Comedy            "
Jurassic World,2015,"    A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","Action, Adventure, Sci-Fi            "
Ant-Man,2015,"    Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.","Action, Adventure, Comedy            "
The Hateful Eight,2015,"    In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","Crime, Drama, Mystery            "
Spotlight,2015,"    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography, Crime, Drama            "
Spectre,2015,"    A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","Action, Adventure, Thriller            "
Sicario,2015,    An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"Action, Crime, Drama            "
Room,2015,"    Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Drama, Thriller            "
Furious 7,2015,    Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Action, Adventure, Thriller            "
Daredevil,2015,"    A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Action, Crime, Drama            "
The Big Short,2015,    In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,"Biography, Comedy, Drama            "
Narcos,2015,"    A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography, Crime, Drama            "
Mission: Impossible - Rogue Nation,2015,    Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Action, Adventure, Thriller            "
Mr. Robot,2015,"    Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime, Drama, Thriller            "
Better Call Saul,,"    The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime, Drama            "
Fifty Shades of Grey,2015,"    Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.","Drama, Romance, Thriller            "
Bridge of Spies,2015,"    During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","Drama, History, Thriller            "
The Hunger Games: Mockingjay - Part 2,2015,    Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,"Action, Adventure, Sci-Fi            "
The Man from U.N.C.L.E.,2015,"    In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.","Action, Adventure, Comedy            "
Terminator Genisys,2015,"    When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.","Action, Adventure, Sci-Fi            "
Creed,2015,"    The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Drama, Sport            "
Chappie,2015,"    In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.","Action, Crime, Drama            "
Spy,2015,"    A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Action, Comedy, Crime            "
Maze Runner: The Scorch Trials,2015,"    After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.","Action, Adventure, Sci-Fi            "
Southpaw,2015,"    A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.","Action, Drama, Sport            "
The Divergent Series: Insurgent,2015,    Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,"Action, Adventure, Sci-Fi            "
The Intern,2015,"    Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","Comedy, Drama            "
Focus,2015,"    In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","Comedy, Crime, Drama            "
The Lobster,2015,"    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.","Comedy, Drama, Romance            "
Minions,2015,"    Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Animation, Adventure, Comedy            "
San Andreas,2015,"    In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.","Action, Adventure, Drama            "
Everest,2015,"    The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.","Action, Adventure, Biography            "
Jessica Jones,2015,"    Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","Action, Crime, Drama            "
The Witch,2015,"    A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.","Drama, Horror, Mystery            "
Ted 2,2015,"    Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Comedy            
Straight Outta Compton,2015,"    The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.","Biography, Drama, History            "
Jupiter Ascending,2015,    A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,"Action, Adventure, Sci-Fi            "
Tomorrowland,2015,"    Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","Action, Adventure, Family            "
Black Mass,2015,"    The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.","Biography, Crime, Drama            "
The Danish Girl,2015,    A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,"Biography, Drama, Romance            "
Cinderella,2015,"    When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","Drama, Family, Fantasy            "
Legend,2015,    Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,"Biography, Crime, Drama            "
The Age of Adaline,2015,"    A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.","Drama, Fantasy, Romance            "
Steve Jobs,2015,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.","Biography, Drama            "
Fantastic Four,2015,    Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,"Action, Adventure, Sci-Fi            "
Mad Max: Fury Road,2015,"    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Action, Adventure, Sci-Fi            "
Star Wars: Episode VII - The Force Awakens,2015,"    As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Action, Adventure, Sci-Fi            "
The Martian,2015,"    An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Adventure, Drama, Sci-Fi            "
Avengers: Age of Ultron,2015,"    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.","Action, Adventure, Sci-Fi            "
The Revenant,2015,    A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,"Action, Adventure, Drama            "
Inside Out,2015,"    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","Animation, Adventure, Comedy            "
Jurassic World,2015,"    A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","Action, Adventure, Sci-Fi            "
Ant-Man,2015,"    Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.","Action, Adventure, Comedy            "
The Hateful Eight,2015,"    In the dead of a Wyoming winter, a bounty hunter and his prisoner find shelter in a cabin currently inhabited by a collection of nefarious characters.","Crime, Drama, Mystery            "
Spotlight,2015,"    The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography, Crime, Drama            "
Spectre,2015,"    A cryptic message from James Bond's past sends him on a trail to uncover the existence of a sinister organisation named SPECTRE. With a new threat dawning, Bond learns the terrible truth about the author of all his pain in his most recent missions.","Action, Adventure, Thriller            "
Sicario,2015,    An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"Action, Crime, Drama            "
Room,2015,"    Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.","Drama, Thriller            "
Furious 7,2015,    Deckard Shaw seeks revenge against Dominic Toretto and his family for his comatose brother.,"Action, Adventure, Thriller            "
Daredevil,2015,"    A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Action, Crime, Drama            "
The Big Short,2015,    In 2006-2007 a group of investors bet against the US mortgage market. In their research they discover how flawed and corrupt the market is.,"Biography, Comedy, Drama            "
Narcos,2015,"    A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.","Biography, Crime, Drama            "
Mission: Impossible - Rogue Nation,2015,    Ethan and his team take on their most impossible mission yet when they have to eradicate an international rogue organization as highly skilled as they are and committed to destroying the IMF.,"Action, Adventure, Thriller            "
Mr. Robot,2015,"    Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Crime, Drama, Thriller            "
Better Call Saul,,"    The trials and tribulations of criminal lawyer Jimmy McGill in the time before he established his strip-mall law office in Albuquerque, New Mexico.","Crime, Drama            "
Fifty Shades of Grey,2015,"    Literature student Anastasia Steele's life changes forever when she meets handsome, yet tormented, billionaire Christian Grey.","Drama, Romance, Thriller            "
Bridge of Spies,2015,"    During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","Drama, History, Thriller            "
The Hunger Games: Mockingjay - Part 2,2015,    Katniss and a team of rebels from District 13 prepare for the final battle that will decide the fate of Panem.,"Action, Adventure, Sci-Fi            "
The Man from U.N.C.L.E.,2015,"    In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons.","Action, Adventure, Comedy            "
Terminator Genisys,2015,"    When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.","Action, Adventure, Sci-Fi            "
Creed,2015,"    The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.","Drama, Sport            "
Chappie,2015,"    In the near future, crime is patrolled by a mechanized police force. When one police droid, Chappie, is stolen and given new programming, he becomes the first robot with the ability to think and feel for himself.","Action, Crime, Drama            "
Spy,2015,"    A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.","Action, Comedy, Crime            "
Maze Runner: The Scorch Trials,2015,"    After having escaped the Maze, the Gladers now face a new set of challenges on the open roads of a desolate landscape filled with unimaginable obstacles.","Action, Adventure, Sci-Fi            "
Southpaw,2015,"    A champion boxer fights to get his daughter back from child protective services as well as revive his professional career, after a fatal incident sends him on a rampant path of destruction.","Action, Drama, Sport            "
The Divergent Series: Insurgent,2015,    Beatrice Prior must confront her inner demons and continue her fight against a powerful alliance which threatens to tear her society apart with the help from others on her side.,"Action, Adventure, Sci-Fi            "
The Intern,2015,"    Seventy-year-old widower Ben Whittaker has discovered that retirement isn't all it's cracked up to be. Seizing an opportunity to get back in the game, he becomes a senior intern at an online fashion site, founded and run by Jules Ostin.","Comedy, Drama            "
Focus,2015,"    In the midst of veteran con man Nicky's latest scheme, a woman from his past - now an accomplished femme fatale - shows up and throws his plans for a loop.","Comedy, Crime, Drama            "
The Lobster,2015,"    In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.","Comedy, Drama, Romance            "
Minions,2015,"    Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","Animation, Adventure, Comedy            "
San Andreas,2015,"    In the aftermath of a massive earthquake in California, a rescue-chopper pilot makes a dangerous journey with his ex-wife across the state in order to rescue his daughter.","Action, Adventure, Drama            "
Everest,2015,"    The story of New Zealand's Robert ""Rob"" Edwin Hall, who on May 10, 1996, together with Scott Fischer, teamed up on a joint expedition to ascend Mount Everest.","Action, Adventure, Biography            "
Jessica Jones,2015,"    Following the tragic end of her brief superhero career, Jessica Jones tries to rebuild her life as a private investigator, dealing with cases involving people with remarkable abilities in New York City.","Action, Crime, Drama            "
The Witch,2015,"    A family in 1630s New England is torn apart by the forces of witchcraft, black magic, and possession.","Drama, Horror, Mystery            "
Ted 2,2015,"    Newlywed couple Ted and Tami-Lynn want to have a baby, but in order to qualify to be a parent, Ted will have to prove he's a person in a court of law.",Comedy            
Straight Outta Compton,2015,"    The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.","Biography, Drama, History            "
Jupiter Ascending,2015,    A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.,"Action, Adventure, Sci-Fi            "
Tomorrowland,2015,"    Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory.","Action, Adventure, Family            "
Black Mass,2015,"    The true story of Whitey Bulger, the brother of a state senator and the most infamous violent criminal in the history of South Boston, who became an FBI informant to take down a Mafia family invading his turf.","Biography, Crime, Drama            "
The Danish Girl,2015,    A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.,"Biography, Drama, Romance            "
Cinderella,2015,"    When her father unexpectedly dies, young Ella finds herself at the mercy of her cruel stepmother and her scheming stepsisters. Never one to give up hope, Ella's fortunes begin to change after meeting a dashing stranger.","Drama, Family, Fantasy            "
Legend,2015,    Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,"Biography, Crime, Drama            "
The Age of Adaline,2015,"    A young woman, born at the turn of the 20th century, is rendered ageless after an accident. After many solitary years, she meets a man who complicates the eternal life she has settled into.","Drama, Fantasy, Romance            "
Steve Jobs,2015,"Steve Jobs takes us behind the scenes of the digital revolution, to paint a portrait of the man at its epicenter. The story unfolds backstage at three iconic product launches, ending in 1998 with the unveiling of the iMac.","Biography, Drama            "
Fantastic Four,2015,    Four young outsiders teleport to an alternate and dangerous universe which alters their physical form in shocking ways. The four must learn to harness their new abilities and work together to save Earth from a former friend turned enemy.,"Action, Adventure, Sci-Fi            "
Mad Max: Fury Road,2015,"    In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.","Action, Adventure, Sci-Fi            "
Star Wars: Episode VII - The Force Awakens,2015,"    As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","Action, Adventure, Sci-Fi            "
The Martian,2015,"    An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.","Adventure, Drama, Sci-Fi            "
